item_name,price,description,dietery,features,rating
Veggie Strips - 5 Pcs.,59,"""Chicken Wings dunked in hot and sweet Korean glaze. Qty: 172 Gms| Kcal: 496.80 | Carbs 28.19 Gms| Sugar: 0 Gms| Fat: 30.34 Gms| Saturated fat: 11.04 Gms| Protein: 27.74 Gms| Sodium: 2714.33 Mg Contains: Gluten, Soybean , Milk , Sesame seeds""",Veg,[],4.3
Veggie Strips(5 Pcs),59,"100% Arabica Espresso poured over milk and ice. | Qty: 330 Gms| Kcal: 141.9 | Carbs 22.18 Gms| Sugar: 19.47 Gms| Fat: 2.97 Gms| Saturated fat: 0 Gms| Protein: 6.3 Gms| Sodium: 6.17 Mg Contains: Gluten, Soybean , Milk , Sesame seeds",Veg,[],4.2
Masala Hashbrown,49,"Qty: Gms300 ML| Kcal: 496.08 | Carbs 87.69 Gms| Sugar: 61.44 Gms| Fat: 11.28 Gms| Saturated fat: 7.17 Gms| Protein: 10.95 Gms| Sodium: 10.68 Mg Contains: , Soybean , Milk",Veg,[],4.8
(6Pc) Crunchy Chicken Nuggets + 1 Dip.,139,Our signature chocolate thick shake.,Veg,[],4.8
(6Pc) Crunchy Chicken Nuggets + 1 Dip,149,"Our Signature Mango Thick Shake. Qty: 300 ML| Kcal: 393.3 | Carbs 65.2 Gms| Sugar: 57.5 Gms| Fat: 10 Gms| Saturated fat: 6.4 Gms| Protein: 10.7 Gms| Sodium: 8.9 Mg Contains: Soybean, Milk",Veg,[],5.0
"(9Pc) Crunchy Chicken Nuggets + 2 Dips,",169,Our signature mango thick shake.,Veg,[],5.0
(9Pc) Crunchy Chicken Nuggets + 2 Dips,179,Our signature Arabica espresso with ice Qty: 330 GmsML| Kcal: 9.9 | Carbs 0.19 Gms| Sugar: 0 Gms| Fat: 0 Gms| Saturated fat: 0 Gms| Protein: 2.31 Gms| Sodium: 4.7 Mg,Veg,[],4.6
(18Pcs) Crunchy Chicken Nuggets + 3 Dips,349,Masala Chai Qty: 200 Gms| Kcal: 84 | Carbs 15.8 Gms| Sugar: 1.1 Gms| Fat: 2.7 Gms| Saturated fat: 11.2 Gms| Protein: 0.7 Gms| Sodium: 36.2 Mg Contains: Milk,Veg,[],4.6
Boneless Wings Regular,169,"Our Signature Bk Café© Coffee With Chocolate Flavour Qty: 240 Gms| Kcal: 246 | Carbs 41 Gms| Sugar: 6.6 Gms| Fat: 5.8 Gms| Saturated fat: 26.4 Gms| Protein: 4.3 Gms| Sodium: 57.6 Mg Contains: Soybean, Milk",Veg,[],4.4
Boneless Wings Regular.,139,"Our Signature Bk Café© Coffee With Chocolate Flavour Qty: 330 Gms| Kcal: 338.5 | Carbs 56.4 Gms| Sugar: 9 Gms| Fat: 7.9 Gms| Saturated fat: 36.4 Gms| Protein: 5.9 Gms| Sodium: 79.2 Mg Contains: Soybean, Milk",Veg,[],4.4
Boneless Wings Large,269,Our signature BK Café Coffee with Hot Water.,Veg,[],4.4
Chicken Wings Fried - Two Pieces,99,"Our Signature Black Currant Thick Shake Qty: 300 ML| Kcal: 474 | Carbs 90.9 Gms| Sugar: 68.2 Gms| Fat: 8.8 Gms| Saturated fat: 6 Gms| Protein: 7.9 Gms| Sodium: 150.9 Mg Contains: Soybean, Milk",Veg,[],4.5
Chicken Wings Fried - Four Pieces,179,"Qty: 350 Gms | Kcal: 328 | Carbs 48.3 Gms | Sugar: 10.4 Gms | Fat: 10.2 Gms | Saturated fat: 38.2 Gms | Protein: 8.7 Gms | Sodium: 94.5 Mg Contains: , Milk",Veg,[],4.8
Chicken Wings Fried - Four Pieces.,139,Small Cappuccino @ 99 Qty: 240 Gms| Kcal: 101 | Carbs 9.8 Gms| Sugar: 4.3 Gms| Fat: 5.8 Gms| Saturated fat: 0 Gms| Protein: 3 Gms| Sodium: 72 Mg Contains: Milk,Veg,['Best Seller'],3.6
Chicken Wings Fried - Ten Pieces,399,Our Signature Bk Caf���� Coffee With Steamed Milk. Qty: 240 Gms| Kcal: 110 | Carbs 9.8 Gms| Sugar: 4.9 Gms| Fat: 6.5 Gms| Saturated fat: 0 Gms| Protein: 3.4 Gms| Sodium: 79.2 Mg Contains: Milk,Veg,[],4.0
Chicken Wings Fried - Fifteen Pieces,579,Hot Chocolate,Veg,['Best Seller'],4.9
Korean Spicy Chicken (4 Pc)!,199,Creamy Chocolate With Steamed Milk. Qty: 240 Gms| Kcal: 209 | Carbs 36.2 Gms| Sugar: 4.2 Gms| Fat: 6.6 Gms| Saturated fat: 22.5 Gms| Protein: 2.9 Gms| Sodium: 81.6 Mg Contains: Milk,Veg,[],5.0
Korean Spicy Chicken (7 Pc)!,299,Espresso With Steamed Milk & Milk Froth. Qty: 330 Gms| Kcal: 138.9 | Carbs 13.5 Gms| Sugar: 5.9 Gms| Fat: 7.9 Gms| Saturated fat: 0 Gms| Protein: 4.1 Gms| Sodium: 99 Mg Contains: Milk,Veg,['Best Seller'],4.9
Korean Spicy Chicken Wings (4pc)!,229,Our Signature Bk Caf���� Coffee With Steamed Milk. Qty: 330 Gms| Kcal: 151 | Carbs 13.5 Gms| Sugar: 6.8 Gms| Fat: 8.9 Gms| Saturated fat: 0 Gms| Protein: 4.8 Gms| Sodium: 108.9 Mg Contains: Milk,Veg,[],4.8
Iced Latte,199,Our signature BK Caf�� Coffee with Hot Water.,Non Veg,[],4.3
Chocolate Thick Shake,189,"Kcal: 683.63 | Carbs 353.64 Gms | Sugar: 42.39 Gms | Fat: 22.48 Gms | Saturated fat: 8.88 Gms | Protein: 15.6 Gms | Sodium: 944.2 Mg Contains: Gluten, Soybean , Milk , Sesame seeds",Non Veg,[],4.7
Chocolate Shake.,139,"Masaledar Veg Patty, Onion & Our Signature Tomato Herby Sauce. Served with Crispy Fries & Coca Cola. Kcal: 888.7 | Carbs 547.9 Gms| Sugar: 54.2 Gms| Fat: 27.2 Gms| Saturated fat: 11.7 Gms| Protein: 14.3 Gms| Sodium: 1365.3 Mg Contains: Gluten, Soybean, Milk, Sesame seeds",Non Veg,[],4.2
Mango Thick Shake,189,"Our Signature Whopper with Crunchy Veg Patty, Onions, Lettuce, Tomatoes (Seasonal), Gherkins, Creamy And Smoky Sauces With Xxl Buns. Served With Crispy Fries & Coca Cola. Kcal: 1203.8 | Carbs 594.5 Gms| Sugar: 75.1 Gms| Fat: 39.8 Gms| Saturated fat: 16.6 Gms| Protein: 21.7 Gms| Sodium: 1554.6 Mg Contains: Gluten, Soybean, Milk, Sesame seeds",Non Veg,[],4.7
Mango Shake.,139,"Our Signature Whopper with Flame Grilled Chicken Patty, Onions, Lettuce, Tomatoes (Seasonal), Gherkins, Creamy And Smoky Sauces With Xxl Buns. Served With Crispy Fries & Coca Cola. Kcal: 1189.8 | Carbs 556.5 Gms| Sugar: 60.7 Gms| Fat: 50.7 Gms| Saturated fat: 14.9 Gms| Protein: 32.1 Gms| Sodium: 1585.5 Mg Contains: Gluten, Soybean, Milk, Sesame seeds",Non Veg,[],4.5
Iced Americano,180,"Our Signature Whopper with Crunchy Veg Patty, Onions, Lettuce, Tomatoes (Seasonal), Gherkins, Creamy And Smoky Sauces. Served With Crispy Fries & Coca Cola. Kcal: 978.6 | Carbs 558.9 Gms| Sugar: 61.2 Gms| Fat: 34.4 Gms| Saturated fat: 18.7 Gms| Protein: 13.1 Gms| Sodium: 1994.9 Mg Contains: Gluten, Soybean, Milk, Sesame seeds",Non Veg,[],4.7
Masala Chai,109,"Crispy Chicken Patty, Onion & Our Signature Tomato Herby Sauce. Served with Crispy Fries & Cola. Kcal: 881.7 | Carbs 541.7 Gms| Sugar: 59.5 Gms| Fat: 29.5 Gms| Saturated fat: 11.6 Gms| Protein: 17.4 Gms| Sodium: 1159.2 Mg Contains: Gluten, Soybean, Milk, Sesame seeds",Non Veg,[],2.1
Mocha Cappuccino (Small),199,"Flame Grilled Tandoori Chicken Patty, Veg Khurchan in premium Brioche Buns. Served With Crispy Fries & Coke. Kcal: 1025.3 | Carbs 560.1 Gms| Sugar: 58.9 Gms| Fat: 29.4 Gms| Saturated fat: 15.6 Gms| Protein: 35.3 Gms| Sodium: 1673.6 Mg Contains: Gluten, Soybean, Milk",Non Veg,[],4.9
Mocha Cappuccino (Regular),229,"Chilli Creamy Patty, Spicy Sauce, in premium Brioche Buns. Served With Crispy Fries & Coke. Kcal: 1204.6 | Carbs 579.4 Gms| Sugar: 69.5 Gms| Fat: 45.8 Gms| Saturated fat: 18.9 Gms| Protein: 23.8 Gms| Sodium: 1765.3 Mg Contains: Soybean, Milk",Non Veg,[],4.4
